Id,O2_1,O2_2
1,9.875,9.2
2,10.3,10.75
3,8.29,7.9
4,8.82,6.8
5,6,6.5
6,9.406666667,9.273333333
7,7.785,8.09
8,11.6,11.6
9,12.44,12.75
10,11.22,10.05
11,7.695,6.49
12,12.79,11.65
13,10,11.2
14,18.05,17.4
15,10.45,9.55
16,8.3,8.566666667
17,8.366666667,8.433333333
18,7.1,7.4
19,9.7,7.4
20,9.1,8.5
21,7.7,8
22,5.75,9.333333333
23,8.7,6.2
24,10.6,12.6
25,11.9,12.2
26,11.9,12.1
27,10.6,10.6
28,7.5,8.1
29,8.7,9
30,8.2,9.6
31,12.5,11.9
32,9.1,7.8
33,6.95,7.25
34,11.3,12.7
35,7.1,7.7
36,14.5,11.6
37,8.65,8.65
38,9.6,9.6
39,6.8,7.4
40,10.73333333,11.5
41,16.1,16.5
42,10.5,10.2
43,11.8,10.5
44,7.4,7.75
45,9,9
46,11.36666667,11.43333333
47,13.53333333,13.63333333
48,13.7,13.7
49,5,5.3
50,9.05,9.25
51,6.15,9.666666667
52,14.9,
53,8.833333333,8.166666667
54,9,3.1
55,13.2,13.8
56,6.3,5.7
57,,6.8
58,9.95,12.2
59,10.63333333,10.43333333
60,2.2,2.2
61,12,13.9
62,7.7,7.1
63,15.1,13.3
64,6.55,8.55
65,7.35,8.1
66,8.7,7.95
67,9.65,9.6
68,5.9,9
69,8.1,6.5
70,8.05,8.65
71,11.375,11.5
72,13.3,14.7
73,8.7,6.6
74,5.6,9
75,10.8,11.9
76,7.933333333,8.933333333
77,12.1,12.5
78,9.8,11.2
79,6.05,6.1
80,6.1,6.7
81,4.2,3.6
82,8.6,9
83,7.88,7.25
84,4.7,5.04
85,3.2,5.6
86,6.6,6
87,7.3,8.3
88,6.9,5.7
89,7.3,6.25
90,9.2,8.6
91,9.1,9.75
92,11.1,10.5
93,9.9,7.3
94,6.95,7.55
95,46.95,7.35
96,5.9,7.4
97,6.4,7
98,,
99,7.366666667,40.9
100,12.9,11
101,9,9.05
102,9.4,7.4
103,7.05,6.025
104,10.9,10.2
105,7.75,7.2
106,5.7,8.4
107,10,8.76
108,15,14.1
109,5.89,5.42
110,13.5,10.4
111,7.8,8.9
112,11.3,8.9
113,5.9,7.8
114,10,6.63
115,4.765,6.32
116,6.625,6.55
117,6.54,4.98
118,5.55,6.345
119,5.4,6.4
120,7.17,7.94
121,6.45,6.7
122,6.55,8.25
123,7.5,7
124,8.55,8.75
125,9.1,8.2
126,9.7,9.2
127,10.3,8.1
128,8.1,8.3
129,14.1,15.3
130,8.3,9.1
131,8.9,10.5
132,11,8.6
133,5,5.5
134,7.5,8.5
135,12.4,9.7
136,7.1,5.2
137,12.7,12.6
138,9.7,8.9
139,9.15,8.565
140,4.9,7.1
141,3.1,6.6
142,7.4,13.6
143,7.7,7.5
144,6.3,5.65
145,8.6,11
146,9.6,14.1
147,6.5,7.7
